"DeviceID","FreeSpace","Size","Used"
"C:","79946772480","251800903680","171854131200"
"DeviceID","FreeSpace","Size","Used"
"C:","79946461184","251800903680","171854442496"
"DeviceID","FreeSpace","Size","Used"
"C:","79946358784","251800903680","171854544896"
"DeviceID","FreeSpace","Size","Used"
"C:","79946158080","251800903680","171854745600"
"DeviceID","FreeSpace","Size","Used"
"C:","79946178560","251800903680","171854725120"
